ae	0.6855	0.0032	0.6723	0.0047	0.9807
	eo	0.0113
	er	0.0109
	en	0.0105
	ei	0.0068
	et	0.0067
	em	0.0027
	el	0.0022
	es	0.002
	ec	0.002
	ea	0.0015
	eg	0.0013
	ed	0.0012
	ep	0.0006
	ev	0.0003
	eb	0.0003
	ef	0.0002
	ee	0.0001
	ek	0.0001
	eu	0.0001
	ej	0.0001
	eh	0.0001
	eq	0.0001
	ew	0
	ex	0
in	0.4901	0.0027	0.0001	0.0055	0.0001
	na	0.5908
	ni	0.3819
	no	0.0366
	ne	0.0222
	ng	0.0108
	nd	0.0063
	nt	0.0045
	nu	0.0039
	nc	0.0038
	nn	0.0026
	ns	0.0018
	nk	0.0007
	ny	0.0007
	nf	0.0005
	nv	0.0004
	nh	0.0003
	nq	0.0003
	nj	0.0003
	nx	0.0002
	nl	0.0002
	nb	0.0001
	nz	0.0001
	nw	0.0001
	nm	0.0001
	nr	0
id	0.4551	0.0012	0.0001	0.0026	0.0003
	da	0.7652
	de	0.1663
	di	0.0943
	do	0.0258
	du	0.0023
	dy	0.0016
	dr	0.0012
	dt	0.0006
	ds	0.0004
	dd	0.0002
	dg	0.0002
	dl	0.0002
	dn	0.0002
	dc	0.0001
	dm	0
	dh	0
	df	0
da	0.3643	0.0057	0.0139	0.0158	0.0382
	ae	0.9124
	ac	0.0267
	al	0.0087
	as	0.007
	ar	0.0062
	an	0.0041
	am	0.0031
	ap	0.0024
	at	0.0015
	ai	0.0013
	ag	0.0011
	av	0.0009
	au	0.0007
	ab	0.0004
	ay	0.0004
	ak	0.0004
	ah	0.0003
	ad	0.0003
	ax	0.0002
	aw	0.0002
	az	0.0001
	aj	0.0001
	af	0.0001
	ao	0
	aa	0
na	0.3178	0.0044	0.0379	0.0138	0.1193
	ae	0.7824
	ac	0.0268
	at	0.0228
	ar	0.0128
	ad	0.0126
	an	0.0094
	as	0.0081
	al	0.008
	ap	0.0051
	ai	0.0039
	am	0.0036
	au	0.0034
	ag	0.0025
	ab	0.0019
	av	0.0015
	ax	0.0013
	ao	0.0012
	ak	0.0007
	aj	0.0004
	az	0.0003
	ay	0.0003
	ah	0.0002
	aa	0.0002
ni	0.2705	0.0023	0.1435	0.0086	0.5306
	in	0.167
	id	0.1539
	ii	0.0851
	ia	0.0251
	io	0.0249
	it	0.0248
	ic	0.0222
	is	0.0151
	ie	0.0084
	ip	0.0067
	if	0.0056
	il	0.0046
	ig	0.0031
	im	0.0029
	ir	0.0019
	ik	0.0015
	iu	0.0011
	ib	0.001
	iv	0.0007
	iz	0.0007
	ih	0.0003
	ix	0.0002
	iq	0.0001
ri	0.2209	0.0021	0.0003	0.0097	0.0013
	in	0.3206
	id	0.2583
	ii	0.099
	ic	0.078
	ia	0.0628
	io	0.0506
	is	0.0319
	it	0.0306
	ip	0.0199
	ig	0.0163
	il	0.0156
	ie	0.0125
	if	0.012
