us	0.2235	0.0004	0.2092	0.0017	0.9358
	st	0.0242
	si	0.0127
	sa	0.0122
	sc	0.0062
	ss	0.0061
	se	0.0034
	so	0.0031
	su	0.003
	sp	0.0025
	sh	0.0016
	sy	0.0005
	sm	0.0005
	sk	0.0005
	sl	0.0002
	sb	0.0002
	sg	0.0002
	sn	0.0002
	sz	0.0001
	sq	0.0001
	sd	0.0001
	sf	0
	sv	0
	sj	0
	sr	0
ia	0.1659	0.0002	0.1395	0.0012	0.8411
	an	0.0481
	as	0.0344
	ac	0.0131
	ar	0.0126
	at	0.012
	al	0.0106
	ap	0.0105
	ad	0.0083
	am	0.0059
	ae	0.0059
	ag	0.0028
	ab	0.0017
	ao	0.0016
	au	0.0016
	az	0.0009
	ax	0.0008
	ak	0.0007
	ai	0.0007
	av	0.0006
	af	0.0002
	ah	0.0002
	ay	0.0002
	aj	0.0002
	aa	0.0001
	aw	0.0001
	aq	0.0001
la	0.153	0.0109	0.0754	0.071	0.4928
	an	0.0749
	at	0.0722
	as	0.0538
	ac	0.0513
	ae	0.0495
	ar	0.046
	am	0.0396
	ad	0.0239
	ap	0.0225
	ag	0.0225
	ab	0.02
	ax	0.0141
	ai	0.0141
	au	0.0126
	av	0.0109
	ao	0.0044
	al	0.0034
	ay	0.0031
	ak	0.0025
	az	0.0013
	aw	0.0012
	af	0.001
	ah	0.001
	aj	0.0005
	aa	0.0004
	aq	0.0002
er	0.1495	0.0051	0.0075	0.034	0.0503
	ri	0.2135
	ra	0.2107
	ro	0.1697
	re	0.0741
	ru	0.0678
	rm	0.0546
	ry	0.028
	rn	0.027
	rt	0.0237
	rc	0.023
	rr	0.0193
	rs	0.0158
	rg	0.0154
	rp	0.012
	rl	0.0083
	rb	0.0059
	rd	0.0059
	rv	0.0053
	rh	0.0032
	rk	0.0018
	rf	0.0011
	rz	0.0008
	rw	0.0007
	rx	0.0004
	rj	0.0003
	rq	0.0002
ra	0.1446	0.0043	0.0457	0.0294	0.3163
	ac	0.1197
	as	0.1168
	an	0.0831
	at	0.0664
	ap	0.0609
	am	0.05
	al	0.0346
	ae	0.0338
	ad	0.0285
	ag	0.0276
	ab	0.0205
	ar	0.0142
	ax	0.0127
	au	0.0113
	ai	0.0077
	av	0.0068
	ah	0.0063
	ak	0.0051
	ao	0.0046
	af	0.0038
	ay	0.0035
	az	0.0033
	aj	0.002
	aw	0.0016
	aa	0.0015
	aq	0.0006
ri	0.1418	0.002	0.0003	0.0141	0.0023
	ia	0.1857
	is	0.1775
	in	0.1185
	ic	0.1156
	io	0.0745
	it	0.0619
	iu	0.054
	id	0.0497
	ip	0.0455
	il	0.0268
	ie	0.0257
	ig	0.0218
	im	0.0182
	ix	0.0168
	ib	0.0137
	if	0.0076
	iz	0.004
	iv	0.0039
	ir	0.0027
	ik	0.0026
	ii	0.0019
	ih	0.0008
	iq	0.0007
	ij	0.0004
	iy	0.0002
	iw	0.0001
ro	0.1342	0.0036	0.0004	0.0265	0.0027
	op	0.1675
	oc	0.1411
	os	0.1221
	ot	0.1073
	om	0.0972
	on	0.0947
	od	0.0613
	ob	0.0406
	ol	0.0387
	og	0.0347
	oi	0.0243
	or	0.0197
	oe	0.0156
	oa	0.0124
	ox	0.0086
	oh	0.0086
	ov	0.0076
	ou	0.0071
	oz	0.0054
	oo	0.0047
	of	0.0042
	ow	0.0027
	ok	0.0026
	oy	0.0018
	oj	0.0014
	oq	0.0003
is	0.1334	0.0034	0.0851	0.0254	0.6382
	st	0.1067
	sc	0.0759
	so	0.0389
	sp	0.0379
	ss	0.035
	si	0.0279
	sa	0.0224
	se	0.0141
	sm	0.0114
	su	0.0073
	sh	0.0048
	sy	0.0031
	sk	0.0015
	sb	0.0014
	sl	0.001
	sn	0.0009
	sq	0.0008
	sr	0.0006
	sd	0.0005
	sg	0.0004
	sf	0.0002
	sz	0.0002
	sw	0.0002
	sv	0.0002
	sj	0.0001
op	0.1326	0.0039	0	0.0295	0.0001
	ph	0.2958
	ps	0.2075
	po	0.0884
	pt	0.0878
	pl	0.066
	pe	0.0647
	pi	0.0624
	pa	0.0617
	pu	0.042
	pr	0.0248
	py	0.022
	pp	0.0072
	pn	0.0012
	pf	0.0004
	pk	0.0003
	pc	0.0003
	pd	0.0002
	pm	0.0001
	pb	0.0001
	pg	0.0001
	pv	0
ch	0.1221	0.0188	0	0.1538	0.0003
	hi	0.2213
	ha	0.1639
	ho	0.1542
	he	0.1189
	hu	0.0911
	hy	0.0782
	hr	0.0583
	hl	0.049
	ht	0.0425
	hn	0.04
	hm	0.0076
	hw	0.0022
	hs	0.0017
	hk	0.0013
	hh	0.0005
	hv	0.0003
	hb	0.0003
	hc	0.0003
	hp	0.0002
	hg	0.0001
	hd	0.0001
	hj	0.0001
	hz	0.0001
	hf	0
on	0.1187	0.0021	0.0286	0.018	0.2405
	ni	0.1744
	no	0.1429
	ne	0.1083
	na	0.0913
	nt	0.0696
	ng	0.0474
	nu	0.0368
	ny	0.0363
	nc	0.0348
	nd	0.0221
	ns	0.0071
	nn	0.0063
	nv	0.0016
	nk	0.0015
	nf	0.0012
	nh	0.0011
	nr	0.001
	nz	0.0009
	np	0.0009
	nb	0.0007
	nl	0.0004
	nj	0.0004
	nm	0.0003
	nq	0.0003
	nw	0.0002
	nx	0.0001
el	0.1181	0.0042	0.0001	0.0356	0.0007
	ll	0.5316
	li	0.126
	la	0.0914
	lo	0.0811
	le	0.0695
	lu	0.0265
	lt	0.0247
	ly	0.0157
	lm	0.0145
	lp	0.0131
	ld	0.0053
	ls	0.0048
	lc	0.0033
	lb	0.0033
	lg	0.0022
	lv	0.0018
	lk	0.0012
	lh	0.0008
	ln	0.0007
	lf	0.0006
	lz	0.0005
	lr	0.0004
	lw	0.0004
	lj	0.0002
	lx	0.0002
	lq	0.0001
ph	0.1179	0.0153	0	0.1295	0.0002
	ha	0.2775
	ho	0.194
	hi	0.1884
	hy	0.1455
	he	0.0592
	hu	0.0551
	hr	0.0517
	hl	0.0344
	ht	0.0181
	hn	0.0046
	hs	0.0002
	hc	0.0001
	hp	0.0001
	hg	0.0001
	hb	0.0001
	hh	0.0001
	hd	0
	hx	0
	hf	0
te	0.1128	0.0096	0.0014	0.0848	0.0121
	er	0.3323
	es	0.3004
	el	0.0999
	en	0.0894
	et	0.0504
	em	0.0258
	ep	0.0188
	eu	0.0168
	eg	0.0167
	ea	0.014
	ei	0.0116
	ec	0.0111
	eo	0.0098
	ed	0.0046
	ex	0.0045
	eb	0.0018
	ev	0.0017
	ee	0.0014
	ek	0.001
	ef	0.0009
	ey	0.0007
	eh	0.0007
	ez	0.0005
	ej	0.0005
	ew	0.0003
	eq	0.0001
an	0.1123	0.0173	0.0004	0.1541	0.0032
	nt	0.2277
	na	0.1568
	no	0.1411
	ni	0.1213
	nd	0.0769
	ne	0.063
	ng	0.0582
	nc	0.0481
	nu	0.0464
	nn	0.0373
	ns	0.0173
	ny	0.0107
	nk	0.0066
	nz	0.0033
	nh	0.0031
	nj	0.0016
	nl	0.0015
	nx	0.0013
	nb	0.0013
	np	0.0012
	nf	0.0012
	nr	0.0008
	nm	0.0007
	nq	0.0006
	nw	0.0005
	nv	0.0005
ar	0.1122	0.0116	0.0005	0.1035	0.0045
	ra	0.2761
	ri	0.2063
	rc	0.0822
	ro	0.0577
	rt	0.0543
	re	0.0494
	rd	0.0485
	rp	0.045
	ru	0.0366
	rg	0.0315
	rr	0.0217
	ry	0.0212
	rs	0.0198
	rm	0.0183
	rb	0.0125
	rn	0.0123
	rh	0.0098
	rv	0.008
	rl	0.0062
	rk	0.0061
	rz	0.0019
	rw	0.0012
	rj	0.0007
	rq	0.0007
	rf	0.0007
	rx	0.0004
es	0.1032	0.001	0.073	0.0097	0.7073
	st	0.0787
	si	0.0648
	so	0.0455
	sm	0.0318
	ss	0.0259
	sc	0.0171
	sa	0.017
	sp	0.0165
	se	0.0107
	su	0.007
	sh	0.0023
	sk	0.0019
	sb	0.0019
	sn	0.0019
	sy	0.0017
	sl	0.0015
	sq	0.0008
	sd	0.0005
	sz	0.0004
	sf	0.0003
	sv	0.0003
